internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Customer Service,Ferns N Petals,Gurgaon,Not specified,3 Months,"₹ 15,000 /month",Retail & Consumer Durables,"Customer Support & Technical Helpdesk, Client Relationship Management (CRM)","Customer Service, Communication, Problem Solving, CRM Software","Handle customer inquiries, resolve gift delivery issues, and provide support across phone and chat channels for Ferns N Petals. Ensure customer satisfaction and maintain logs of customer feedback."
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3 Months,"₹ 15,000 /month","Media, Entertainment & Education, Telecom","B2B Sales & Key Account Management, Digital Marketing & SEO/SEM","Sales, Malayalam Language, Negotiation, Lead Generation",Drive advertising sales and business development initiatives targeting clients in Kerala for ShareChat. Communicate fluently in Malayalam to pitch advertising solutions and close deals.
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3 Months,"₹ 10,000 /month",Logistics & Supply Chain,"Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Recruitment, Employee Relations, HR Administration, Communication","Support the HR department at Agarwal Packers & Movers with employee onboarding, attendance tracking, and initial resume screening. Assist in coordinating internal training and engagement activities."
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3 Months,"₹ 15,000 /month","FMCG (Fast-Moving Consumer Goods), Retail & Consumer Durables",Corporate Legal Affairs & Contract Management,"Legal Research, Contract Drafting, Compliance, Attention to Detail","Assist the legal team at MyGlamm with drafting and reviewing commercial contracts, vendor agreements, and compliance documents. Conduct legal research on industry regulations and intellectual property."
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3 Months,"₹ 12,000 /month","IT and Software Development, Housing","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Sales, Negotiation, Lead Generation, Client Handling","Generate leads, pitch NoBroker services to prospective clients, and close deals to drive revenue growth. Manage client relationships and maintain updated records in the CRM system."
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3 Months,"₹ 20,000 /month","FMCG (Fast-Moving Consumer Goods), Agriculture","Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Recruitment, Payroll, Employee Onboarding, HR Policies","Manage day-to-day HR operations at Mahanadi Spices, including worker onboarding, attendance management, and basic payroll processing. Assist in resolving employee grievances and maintaining records."
Fundraising,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Media, Entertainment & Education","Strategy & Corporate Development, Business Analytics & Market Research","Fundraising, Donor Management, Pitching, Communication","Develop fundraising campaigns, reach out to potential donors and corporate partners, and pitch Marpu Foundation's social initiatives. Track donation metrics and maintain relationships with contributors."
Recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Media, Entertainment & Education","Talent Acquisition & Technical Recruitment, Human Resources (HR) & People Operations","Sourcing, Interview Coordination, Screening, Communication",Source and screen volunteer and intern profiles for various social projects at Marpu Foundation. Coordinate interview schedules and manage communication with prospective candidates.
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Media, Entertainment & Education","Human Resources (HR) & People Operations, Learning & Organizational Development (L&D)","HR Administration, Employee Engagement, Interpersonal Skills, Documentation","Support general HR tasks at Marpu Foundation including intern onboarding, engagement initiatives, and policy communication. Maintain internal databases and employee records."
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,"Media, Entertainment & Education",Talent Acquisition & Technical Recruitment,"Talent Sourcing, Resume Screening, LinkedIn Recruiter, Communication","Lead the talent acquisition lifecycle at Marpu Foundation by posting job openings, screening applications, and conducting initial screening calls. Build a strong talent pipeline for ongoing social initiatives."
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,"₹ 8,000 /month +  Incentives",Retail & Consumer Durables,"B2B Sales & Key Account Management, Client Relationship Management (CRM)","Key Account Management, B2B Sales, Negotiation, Relationship Building","Acquire new clients and manage key accounts for Pepperfry's business verticals, ensuring high retention and satisfaction. Negotiate partnership terms and coordinate with internal teams to fulfill client needs."
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"₹ 5,000-8,000 /month","Media, Entertainment & Education, IT and Software Development","Talent Acquisition & Technical Recruitment, Human Resources (HR) & People Operations","Technical Recruiting, Sourcing, Interview Management, ATS","Source and evaluate tech and non-tech candidates for roles at Scaler Academy. Coordinate interview rounds, manage candidate pipelines, and ensure a seamless recruitment experience."
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,"₹ 15,000 /month","Sports, Retail & Consumer Durables","Store Operations & Visual Merchandising, Sports Coaching, Analytics & Fitness Training","Sports Knowledge, Customer Interaction, Leadership, Inventory Management","Lead the hiking and trekking department at a Decathlon store, assisting customers with specialized gear selection and organizing community treks. Manage department merchandising, stock levels, and safety guidelines."
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month","Media, Entertainment & Education","B2B Sales & Key Account Management, Management Consulting & Advisory","Business Development, Partnership Building, Market Research, Pitching","Identify growth opportunities, build strategic partnerships, and pitch Across The Globe's educational and tech platforms to institutions. Handle client negotiations and track business development metrics."
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month","Media, Entertainment & Education","Digital Marketing & SEO/SEM, Enterprise Resource Planning (ERP)","Data Entry, Digital Marketing, Excel, Attention to Detail","Perform accurate data entry for marketing campaigns and CRM databases at Across The Globe. Assist the marketing team with executing digital campaigns, tracking metrics, and organizing promotional content."
